任务：在MySQL样本数据库上完成下列查询：
1. 查询每个部门(departments)的编号(dept_no),名称(dept_name),在该部门工作过的雇员(employees)人数,最低工资(salary),平均工资,最高工资及工资总额；

dept_no	dept_name	emp_count	min_salary	avg_salary	max_salary	total_salary
d001	Marketing	9406	39127	71888.0910	143644	6414861908
d002	Finance	8179	38812	70301.6137	140742	5442188517
d003	Human Resources	8477	38735	55375.3124	128308	4452784249
d004	Production	34527	38836	59595.4748	132552	19575921566
d005	Development	40480	38850	59501.3423	144434	22839530744
d006	Quality Management	9510	38928	57274.9795	122376	5131551784
d007	Sales	24508	39237	80675.6013	158220	18754899066
d008	Research	9904	38851	59855.4554	124181	5668251772
d009	Customer Service	11137	38836	58795.7179	144866	6194658042

2. 查询每个部门(departments)的编号(dept_no),名称(dept_name),及各个时间段(from_date,end_data)担任该部门经理(dept_manager)的雇员的编号(emp_no)和姓名(first_name+last_name)，并按时间段先后显式；

dept_no	dept_name	emp_no	manager_name	from_date	end_date
d001	Marketing	110022	Margareta Markovitch	1985-01-01	1991-10-01
d001	Marketing	110039	Vishwani Minakawa	1991-10-01	9999-01-01
d002	Finance	110085	Ebru Alpin	1985-01-01	1989-12-17
d002	Finance	110114	Isamu Legleitner	1989-12-17	9999-01-01
d003	Human Resources	110183	Shirish Ossenbruggen	1985-01-01	1992-03-21
d003	Human Resources	110228	Karsten Sigstam	1992-03-21	9999-01-01
d004	Production	110303	Krassimir Wegerle	1985-01-01	1988-09-09
d004	Production	110344	Rosine Cools	1988-09-09	1992-08-02
d004	Production	110386	Shem Kieras	1992-08-02	1996-08-30
d004	Production	110420	Oscar Ghazalie	1996-08-30	9999-01-01
d005	Development	110511	DeForest Hagimont	1985-01-01	1992-04-25
d005	Development	110567	Leon DasSarma	1992-04-25	9999-01-01
d006	Quality Management	110725	Peternela Onuegbe	1985-01-01	1989-05-06
d006	Quality Management	110765	Rutger Hofmeyr	1989-05-06	1991-09-12
d006	Quality Management	110800	Sanjoy Quadeer	1991-09-12	1994-06-28
d006	Quality Management	110854	Dung Pesch	1994-06-28	9999-01-01
d007	Sales	111035	Przemyslawa Kaelbling	1985-01-01	1991-03-07
d007	Sales	111133	Hauke Zhang	1991-03-07	9999-01-01
d008	Research	111400	Arie Staelin	1985-01-01	1991-04-08
d008	Research	111534	Hilary Kambil	1991-04-08	9999-01-01
d009	Customer Service	111692	Tonny Butterworth	1985-01-01	1988-10-17
d009	Customer Service	111784	Marjo Giarratana	1988-10-17	1992-09-08
d009	Customer Service	111877	Xiaobin Spinelli	1992-09-08	1996-01-03
d009	Customer Service	111939	Yuchang Weedman	1996-01-03	9999-01-01

3. 查询每位雇员的编号(emp_no),姓名(first_name+last_name),及各个时间段(from_date,end_data)的工资额(salary),并按时间段先后显式；

emp_no	emp_name	from_date	end_date	salary
10001	Georgi Facello	1986-06-26	1987-06-26	60117
10001	Georgi Facello	1987-06-26	1988-06-25	62102
10001	Georgi Facello	1988-06-25	1989-06-25	66074
10001	Georgi Facello	1989-06-25	1990-06-25	66596
10001	Georgi Facello	1990-06-25	1991-06-25	66961
10001	Georgi Facello	1991-06-25	1992-06-24	71046
10001	Georgi Facello	1992-06-24	1993-06-24	74333
10001	Georgi Facello	1993-06-24	1994-06-24	75286
10001	Georgi Facello	1994-06-24	1995-06-24	75994
10001	Georgi Facello	1995-06-24	1996-06-23	76884
10001	Georgi Facello	1996-06-23	1997-06-23	80013
10001	Georgi Facello	1997-06-23	1998-06-23	81025
10001	Georgi Facello	1998-06-23	1999-06-23	81097
10001	Georgi Facello	1999-06-23	2000-06-22	84917
10001	Georgi Facello	2000-06-22	2001-06-22	85112
10001	Georgi Facello	2001-06-22	2002-06-22	85097
10001	Georgi Facello	2002-06-22	9999-01-01	88958
10002	Bezalel Simmel	1996-08-03	1997-08-03	65828
10002	Bezalel Simmel	1997-08-03	1998-08-03	65909
10002	Bezalel Simmel	1998-08-03	1999-08-03	67534
10002	Bezalel Simmel	1999-08-03	2000-08-02	69366
10002	Bezalel Simmel	2000-08-02	2001-08-02	71963
10002	Bezalel Simmel	2001-08-02	9999-01-01	72527
10003	Parto Bamford	1995-12-03	1996-12-02	40006
10003	Parto Bamford	1996-12-02	1997-12-02	43616
10003	Parto Bamford	1997-12-02	1998-12-02	43466
10003	Parto Bamford	1998-12-02	1999-12-02	43636
10003	Parto Bamford	1999-12-02	2000-12-01	43478
10003	Parto Bamford	2000-12-01	2001-12-01	43699
10003	Parto Bamford	2001-12-01	9999-01-01	43311
10004	Chirstian Koblick	1986-12-01	1987-12-01	40054
10004	Chirstian Koblick	1987-12-01	1988-11-30	42283
10004	Chirstian Koblick	1988-11-30	1989-11-30	42542
10004	Chirstian Koblick	1989-11-30	1990-11-30	46065
10004	Chirstian Koblick	1990-11-30	1991-11-30	48271
10004	Chirstian Koblick	1991-11-30	1992-11-29	50594
10004	Chirstian Koblick	1992-11-29	1993-11-29	52119
10004	Chirstian Koblick	1993-11-29	1994-11-29	54693
10004	Chirstian Koblick	1994-11-29	1995-11-29	58326
10004	Chirstian Koblick	1995-11-29	1996-11-28	60770
10004	Chirstian Koblick	1996-11-28	1997-11-28	62566
10004	Chirstian Koblick	1997-11-28	1998-11-28	64340
10004	Chirstian Koblick	1998-11-28	1999-11-28	67096
10004	Chirstian Koblick	1999-11-28	2000-11-27	69722
10004	Chirstian Koblick	2000-11-27	2001-11-27	70698
10004	Chirstian Koblick	2001-11-27	9999-01-01	74057
10005	Kyoichi Maliniak	1989-09-12	1990-09-12	78228
10005	Kyoichi Maliniak	1990-09-12	1991-09-12	82621
